zipcode_x,latitude,longitude,city,state,population,density,zipcode_y,City,2015,2016,2017,2018,2019,2020,2021,2022,2023
75158,32.46694,-96.39315,Scurry,TX,5496.0,24.6,91982,Katy,324287.51503868186,321896.29319950944,316498.13965521887,320464.5720479168,323809.51711089414,330947.1708522833,381345.90700672404,463206.7816136487,475322.8666824211
75159,32.60652,-96.53939,Seagoville,TX,22514.0,146.6,91982,Katy,324287.51503868186,321896.29319950944,316498.13965521887,320464.5720479168,323809.51711089414,330947.1708522833,381345.90700672404,463206.7816136487,475322.8666824211
75160,32.76466,-96.29835,Terrell,TX,24465.0,79.9,91982,Katy,324287.51503868186,321896.29319950944,316498.13965521887,320464.5720479168,323809.51711089414,330947.1708522833,381345.90700672404,463206.7816136487,475322.8666824211
75161,32.73609,-96.17129,Terrell,TX,8040.0,27.6,91982,Katy,324287.51503868186,321896.29319950944,316498.13965521887,320464.5720479168,323809.51711089414,330947.1708522833,381345.90700672404,463206.7816136487,475322.8666824211
75163,32.1672,-96.10999,Trinidad,TX,2450.0,27.9,91982,Katy,324287.51503868186,321896.29319950944,316498.13965521887,320464.5720479168,323809.51711089414,330947.1708522833,381345.90700672404,463206.7816136487,475322.8666824211
75164,33.06963,-96.3041,Josephine,TX,281.0,108.8,91982,Katy,324287.51503868186,321896.29319950944,316498.13965521887,320464.5720479168,323809.51711089414,330947.1708522833,381345.90700672404,463206.7816136487,475322.8666824211
75165,32.36687,-96.79677,Waxahachie,TX,47183.0,154.4,91982,Katy,324287.51503868186,321896.29319950944,316498.13965521887,320464.5720479168,323809.51711089414,330947.1708522833,381345.90700672404,463206.7816136487,475322.8666824211
75166,33.01671,-96.4495,Lavon,TX,5589.0,166.9,91982,Katy,324287.51503868186,321896.29319950944,316498.13965521887,320464.5720479168,323809.51711089414,330947.1708522833,381345.90700672404,463206.7816136487,475322.8666824211
75167,32.36123,-96.91547,Waxahachie,TX,12332.0,49.7,91982,Katy,324287.51503868186,321896.29319950944,316498.13965521887,320464.5720479168,323809.51711089414,330947.1708522833,381345.90700672404,463206.7816136487,475322.8666824211
75169,32.70335,-95.99754,Wills Point,TX,14496.0,26.1,91982,Katy,324287.51503868186,321896.29319950944,316498.13965521887,320464.5720479168,323809.51711089414,330947.1708522833,381345.90700672404,463206.7816136487,475322.8666824211
75172,32.60369,-96.67458,Wilmer,TX,5248.0,179.2,91982,Katy,324287.51503868186,321896.29319950944,316498.13965521887,320464.5720479168,323809.51711089414,330947.1708522833,381345.90700672404,463206.7816136487,475322.8666824211
75173,33.05986,-96.38673,Nevada,TX,8298.0,98.0,91982,Katy,324287.51503868186,321896.29319950944,316498.13965521887,320464.5720479168,323809.51711089414,330947.1708522833,381345.90700672404,463206.7816136487,475322.8666824211
75180,32.71937,-96.61841,Balch Springs,TX,26560.0,1319.0,91982,Katy,324287.51503868186,321896.29319950944,316498.13965521887,320464.5720479168,323809.51711089414,330947.1708522833,381345.90700672404,463206.7816136487,475322.8666824211
75181,32.72696,-96.555,Mesquite,TX,27336.0,609.0,91982,Katy,324287.51503868186,321896.29319950944,316498.13965521887,320464.5720479168,323809.51711089414,330947.1708522833,381345.90700672404,463206.7816136487,475322.8666824211
75182,32.80033,-96.55425,Sunnyvale,TX,7647.0,166.1,91982,Katy,324287.51503868186,321896.29319950944,316498.13965521887,320464.5720479168,323809.51711089414,330947.1708522833,381345.90700672404,463206.7816136487,475322.8666824211
75189,32.94821,-96.30941,Royse City,TX,35243.0,123.9,91982,Katy,324287.51503868186,321896.29319950944,316498.13965521887,320464.5720479168,323809.51711089414,330947.1708522833,381345.90700672404,463206.7816136487,475322.8666824211
75201,32.78826,-96.79953,Dallas,TX,17491.0,4907.2,91982,Katy,324287.51503868186,321896.29319950944,316498.13965521887,320464.5720479168,323809.51711089414,330947.1708522833,381345.90700672404,463206.7816136487,475322.8666824211
75202,32.77843,-96.8037,Dallas,TX,2212.0,1277.7,91982,Katy,324287.51503868186,321896.29319950944,316498.13965521887,320464.5720479168,323809.51711089414,330947.1708522833,381345.90700672404,463206.7816136487,475322.8666824211
75203,32.74439,-96.80206,Dallas,TX,16455.0,1326.7,91982,Katy,324287.51503868186,321896.29319950944,316498.13965521887,320464.5720479168,323809.51711089414,330947.1708522833,381345.90700672404,463206.7816136487,475322.8666824211
75204,32.80216,-96.78885,Dallas,TX,31860.0,4806.7,91982,Katy,324287.51503868186,321896.29319950944,316498.13965521887,320464.5720479168,323809.51711089414,330947.1708522833,381345.90700672404,463206.7816136487,475322.8666824211
75205,32.83657,-96.79617,Dallas,TX,24804.0,2191.5,91982,Katy,324287.51503868186,321896.29319950944,316498.13965521887,320464.5720479168,323809.51711089414,330947.1708522833,381345.90700672404,463206.7816136487,475322.8666824211
75206,32.83161,-96.77032,Dallas,TX,38209.0,3483.4,91982,Katy,324287.51503868186,321896.29319950944,316498.13965521887,320464.5720479168,323809.51711089414,330947.1708522833,381345.90700672404,463206.7816136487,475322.8666824211
75207,32.78693,-96.82181,Dallas,TX,8163.0,816.7,91982,Katy,324287.51503868186,321896.29319950944,316498.13965521887,320464.5720479168,323809.51711089414,330947.1708522833,381345.90700672404,463206.7816136487,475322.8666824211
75208,32.75409,-96.83943,Dallas,TX,29941.0,1889.3,91982,Katy,324287.51503868186,321896.29319950944,316498.13965521887,320464.5720479168,323809.51711089414,330947.1708522833,381345.90700672404,463206.7816136487,475322.8666824211
